2025-10-25 15:17:54.599561 - T:27.2, H:92.1, C:1399.0, L:43.0
2025-10-25 15:18:04.390417 - T:27.2, H:92.1, C:1399.0, L:43.0
2025-10-25 15:18:14.436160 - T:27.2, H:92.1, C:1410.0, L:43.0
2025-10-25 15:18:24.550434 - T:27.3, H:92.1, C:1399.0, L:43.0
2025-10-25 15:18:34.487294 - T:27.2, H:92.0, C:1399.0, L:43.0
2025-10-25 15:18:44.355239 - T:27.2, H:91.9, C:1410.0, L:44.0
2025-10-25 15:18:54.578667 - T:27.2, H:92.0, C:1409.0, L:44.0
2025-10-25 15:19:04.506508 - T:27.2, H:92.0, C:1412.0, L:45.0
2025-10-25 15:19:14.374304 - T:27.3, H:92.0, C:1413.0, L:44.0
2025-10-25 15:19:24.691386 - T:27.3, H:92.0, C:1414.0, L:44.0
2025-10-25 15:19:34.465308 - T:27.2, H:91.9, C:1417.0, L:44.0
2025-10-25 15:19:46.674708 - T:27.3, H:91.9, C:1418.0, L:44.0
2025-10-25 15:19:54.462795 - T:27.3, H:91.9, C:1423.0, L:44.0
2025-10-25 15:20:04.459572 - T:27.3, H:91.8, C:1415.0, L:44.0
2025-10-25 15:20:14.812813 - T:27.3, H:91.8, C:1417.0, L:44.0
2025-10-25 15:20:24.579586 - T:27.3, H:91.8, C:1417.0, L:44.0
2025-10-25 15:20:34.639744 - T:27.3, H:91.8, C:1407.0, L:44.0
2025-10-25 15:20:44.747660 - T:27.3, H:91.8, C:1419.0, L:44.0
2025-10-25 15:20:54.381564 - T:27.3, H:91.7, C:1418.0, L:44.0
2025-10-25 15:21:04.383588 - T:27.3, H:91.7, C:1418.0, L:44.0
2025-10-25 15:21:14.506001 - T:27.3, H:91.6, C:1418.0, L:44.0
2025-10-25 15:21:24.931666 - T:27.3, H:91.6, C:1419.0, L:44.0
2025-10-25 15:21:34.425307 - T:27.3, H:91.5, C:1420.0, L:44.0
2025-10-25 15:21:44.649198 - T:27.3, H:91.6, C:1418.0, L:44.0
2025-10-25 15:21:54.754514 - T:27.3, H:91.6, C:1419.0, L:44.0
2025-10-25 15:22:06.422644 - T:27.3, H:91.6, C:1418.0, L:44.0
2025-10-25 15:22:14.579330 - T:27.4, H:91.6, C:1419.0, L:44.0
2025-10-25 15:22:24.593808 - T:27.3, H:91.6, C:1418.0, L:44.0
2025-10-25 15:22:34.457028 - T:27.3, H:91.6, C:1420.0, L:44.0
2025-10-25 15:22:44.455556 - T:27.4, H:91.6, C:1420.0, L:44.0
2025-10-25 15:22:57.335445 - T:27.3, H:91.5, C:1417.0, L:44.0
2025-10-25 15:23:05.756079 - T:27.4, H:91.4, C:1424.0, L:44.0
